y_real,y_predicho
822500.0,818544.44
1000000.0,999629.2
700000.0,699795.4
1130000.0,1133237.8
700000.0,705998.4
1000000.0,989321.75
1160000.0,1156067.2
3200000.0,3221308.8
600000.0,599600.25
400000.0,406413.9
2323333.3333,2323826.0
125000.0,122463.305
1040688.3333,1037843.3
1150000.0,1144461.8
1540000.0,1547710.8
2583333.3333,2596168.5
2081666.6667,2090549.0
2950000.0,2961611.8
830000.0,832160.1
1606023.8333,1605434.8
720000.0,707422.25
246666.66667,241826.48
400000.0,408055.0
750000.0,752314.56
1146666.6667,1160676.2
1883333.3333,1882527.8
700000.0,709233.56
3846500.0,3876929.5
1329359.3333,1320334.1
1200000.0,1201175.1
705833.33333,689542.75
350000.0,348155.22
1240000.0,1231127.5
348333.33333,355694.3
1166666.6667,1167202.9
3094166.6667,3094698.2
495833.33333,493018.16
2251512.0,2269814.0
1300000.0,1298282.6
2628545.75,2647381.8
450000.0,456533.88
1100000.0,1100641.8
1390000.0,1393601.6
3958333.3333,3991891.5
500000.0,502119.2
916666.66667,914907.06
1979313.3333,1983680.1
3956000.0,3992802.8
1814980.0,1803779.6
4202666.6667,4168726.8
400833.33333,398107.78
520000.0,530252.3
3750000.0,3753043.5
1913102.5,1910603.2
982333.33333,976065.94
745000.0,745900.0
250000.0,250101.88
1683333.3333,1683892.1
3002692.6667,2993459.2
1420000.0,1424016.0
1372415.0,1385176.6
2533750.0,2561523.5
800000.0,796009.9
1833333.3333,1830531.1
1291859.3333,1293117.9
2000000.0,2000187.6
514166.66667,512159.8
1190000.0,1184934.8
1430000.0,1437363.0
300000.0,296079.97
780000.0,774170.8
1008000.0,1011158.0
550000.0,547027.94
1330803.0,1339133.1
1080000.0,1082970.8
650000.0,658365.3
1070000.0,1065837.8
560000.0,559476.1
750000.0,744511.0
1173000.0,1186902.5
1250000.0,1249376.5
25000.0,122.75045
1532357.1667,1540111.6
2316000.0,2307170.2
3856500.0,3870978.5
1300000.0,1297281.9
2500000.0,2521557.5
5484000.0,5534367.5
300000.0,303511.94
238333.33333,243019.5
690000.0,699670.3
300000.0,301348.9
600000.0,597301.7
1217569.8333,1229188.5
950000.0,951464.44
575333.33333,573383.94
2222302.0,2207165.0
3000000.0,3016171.0
1100000.0,1107640.9
8000000.0,7931525.5
3615787.3333,3616366.8
1205000.0,1217434.9
865000.0,876792.94
220000.0,210988.52
660000.0,668708.06
600000.0,604075.06
125000.0,116335.76
721000.0,717778.7
880000.0,889001.56
6213333.3333,6237345.0
1348000.0,1356168.6
285000.0,294511.38
333333.33333,345847.06
1190000.0,1180469.4
808750.0,811469.8
1185416.6667,1187211.2
1753333.3333,1755382.5
2367500.0,2373051.5
1150000.0,1158879.4
870000.0,875848.75
5149859.3333,5215032.0
120000.0,112938.55
1300000.0,1300209.6
525000.0,518509.47
712500.0,706116.2
1000000.0,1000047.56
800000.0,791847.4
50000.0,47843.203
830000.0,828881.06
1566666.6667,1563256.2
1150000.0,1152736.5
980000.0,983318.4
900000.0,905296.2
1585000.0,1582667.5
280000.0,280860.5
1160000.0,1162822.6
2872480.0,2889792.2
1030000.0,1029995.3
1057316.9167,1048068.4
2177233.3333,2190774.2
3444166.6667,3417414.0
500000.0,499280.06
1612500.0,1619106.1
800000.0,799530.56
2303500.0,2306221.5
1468881.25,1474680.8
3453333.3333,3405116.0
2640000.0,2632008.0
395000.0,401381.06
850000.0,854995.8
650000.0,641422.94
1550000.0,1552827.4
800000.0,806304.7
1679236.5,1685878.2
1030000.0,1020665.2
600000.0,586212.9
630000.0,636241.9
1615000.0,1620755.0
1200000.0,1180905.9
555000.0,555997.7
1460000.0,1463980.4
1000000.0,1001511.44
1058333.3333,1060464.4
787500.0,790904.5
178000.0,184546.67
1264833.3333,1278862.9
2800000.0,2799667.2
388333.33333,382386.3
772500.0,771185.8
707500.0,695813.06
1057000.0,1058668.8
150000.0,147969.95
600000.0,607362.4
400000.0,397491.7
2333333.3333,2320555.8
870666.66667,860187.25
1100000.0,1094367.9
1572500.0,1569533.5
4950000.0,4953239.0
908000.0,904607.06
773333.33333,771562.06
1150000.0,1147532.1
147500.0,140996.19
1000000.0,1000276.56
1500000.0,1491022.5
565000.0,575084.25
456666.66667,461642.9
392500.0,382611.2
990000.0,973458.94
11891666.667,11792156.0
300000.0,305053.22
2158333.3333,2161626.8
930000.0,929228.06
716750.0,720396.9
930000.0,933200.4
783333.33333,782141.06
100000.0,105006.21
2325000.0,2303141.8
622500.0,622618.4
1425000.0,1420896.4
1510000.0,1521673.4
1200000.0,1193796.1
102500.0,107394.19
260000.0,253531.17
500000.0,497534.47
1300000.0,1301391.6
1200000.0,1200204.2
1000000.0,1000431.4
2222333.3333,2205428.0
740000.0,736704.7
2684166.6667,2709592.2
1833333.3333,1807418.6
400000.0,409957.75
2000000.0,2001787.0
550000.0,561372.7
1600000.0,1602289.1
2000000.0,2007686.4
3250000.0,3231356.2
800000.0,790378.3
293333.33333,322852.94
983333.33333,988008.6
625000.0,629143.06
950000.0,948851.25
450000.0,446256.06
600000.0,615004.56
880000.0,883129.3
775000.0,773586.9
911666.66667,911019.94
1716000.0,1708697.9
850000.0,854966.44
150000.0,147580.8
3330000.0,3329742.0
620000.0,615557.94
1518966.6667,1508600.1
718750.0,720149.0
1450000.0,1476644.6
430000.0,427492.75
1666666.6667,1650612.5
450000.0,452549.25
216666.66667,218311.47
1237500.0,1234799.9
1050666.6667,1058345.6
1440000.0,1437806.9
1426000.0,1417169.1
2225000.0,2202777.0
340000.0,344801.28
1079166.6667,1080317.0
974666.66667,979669.9
800000.0,803749.1
1116666.6667,1119921.2
1425000.0,1410449.4
980000.0,974113.8
416666.66667,421563.88
950000.0,945250.7
2550000.0,2555645.0
4100000.0,4123727.5
820000.0,819608.8
2123333.3333,2129574.8
860000.0,871677.75
1500000.0,1493059.6
353333.33333,356001.56
640000.0,639278.44
1030000.0,1027802.8
370000.0,364080.6
396666.66667,390708.1
816666.66667,814467.94
1100000.0,1112048.8
1342333.3333,1348792.5
207500.0,205450.66
287500.0,282898.47
1000000.0,996790.25
2005000.0,1993865.6
310000.0,315084.56
400000.0,402630.28
1020000.0,1016875.1
867500.0,849603.56
900000.0,905739.0
1650000.0,1656696.5
566666.66667,575280.44
3679830.0,3626384.5
750000.0,752036.56
933333.33333,928337.7
2350000.0,2377648.0
1345221.3333,1358679.9
240000.0,244078.12
1032480.0,1041673.1
1660000.0,1653567.9
1835000.0,1832223.8
185000.0,185937.5
770000.0,769744.94
318333.33333,313011.6
620000.0,620270.4
1892052.0,1909582.2
1000000.0,1004413.44
2093692.6667,2120266.0
800000.0,804138.44
3411258.6667,3425855.2
1631859.3333,1635439.9
5200000.0,5237765.5
130000.0,137544.67
2525000.0,2501864.0
150000.0,149142.31
1000000.0,1008199.8
1014630.0,1006364.5
2400000.0,2407290.2
1600000.0,1608454.1
283333.33333,277148.56
2600000.0,2596197.0
1713333.3333,1708122.0
600000.0,586702.75
1233000.0,1224607.4
3466666.6667,3499718.8
450000.0,449774.06
85833.333333,84960.85
1377500.0,1386243.5
700000.0,698291.94
2251250.0,2254032.8
844333.33333,841917.56
246666.66667,241008.36
1450000.0,1458757.4
750000.0,750044.1
1500000.0,1504777.8
2389500.0,2384178.8
1000000.0,998521.56
350000.0,350019.03
1100000.0,1100324.0
2300000.0,2310260.8
1408333.3333,1401849.9
900000.0,904450.75
2078980.0,2051987.0
550000.0,560301.56
884333.33333,887545.5
2553954.0,2551665.0
2653112.5,2658530.2
400000.0,402050.78
500000.0,500758.16
243000.0,244254.61
1050000.0,1051923.1
1440000.0,1438057.8
591666.66667,591515.1
760000.0,763288.1
889000.0,884700.7
1214980.0,1212640.2
3588000.0,3621708.2
1275333.3333,1278458.6
200000.0,203525.1
80000.0,84747.45
700000.0,698406.9
2687980.0,2721995.5
1837500.0,1828347.0
3454980.0,3419303.8
783333.33333,881265.2
100000.0,93585.35
2300000.0,2311306.5
2200000.0,2207877.0
1220000.0,1218423.6
1100000.0,1100287.0
3510000.0,3490947.8
282500.0,281410.3
650000.0,651032.5
250000.0,248511.94
2971666.6667,2992796.8
3150000.0,3149280.5
2225000.0,2227591.2
776000.0,771655.75
30000.0,34701.27
538333.33333,547360.7
2483333.3333,2469666.5
1160000.0,1162339.4
890000.0,880711.3
470000.0,478855.62
1500000.0,1499859.4
5000000.0,4992507.0
2940000.0,2962260.8
908000.0,909081.4
730000.0,737359.44
430000.0,427472.97
1098069.8333,1098378.9
800000.0,804518.75
1250000.0,1250411.5
290000.0,293535.94
726666.66667,723849.3
2116666.6667,2127070.5
157500.0,148813.53
1400000.0,1402558.5
200000.0,198861.4
2300000.0,2314223.5
902500.0,910501.1
5000000.0,5002106.0
400000.0,400573.88
430000.0,430116.38
1516666.6667,1511888.2
1345000.0,1356542.8
1227500.0,1232430.1
250000.0,250591.98
799166.66667,790541.75
1298000.0,1288210.5
4016666.6667,4010637.5
220833.33333,215122.86
828333.33333,827643.56
2275069.8333,2295231.5
938526.0,935741.2
1174630.0,1183815.2
250000.0,254414.4
1396666.6667,1394674.6
330000.0,320412.9
1935000.0,1934769.1
217500.0,214215.42
220000.0,221395.02
1000000.0,1003232.44
1400000.0,1404779.0
200000.0,206490.08
1553333.3333,1557665.4
1080000.0,1077979.4
430000.0,435434.1
600000.0,605669.56
1287500.0,1288623.5
3279500.0,3213059.2
750000.0,748671.1
540000.0,544265.9
780000.0,779827.56
200000.0,201701.53
1300000.0,1309811.9
560000.0,560451.56
730000.0,732129.56
1256666.6667,1247936.0
5000000.0,4989905.0
1000000.0,994080.56
950833.33333,950222.06
500000.0,501876.97
1386000.0,1387960.5
1595000.0,1603830.5
880000.0,887038.4
265833.33333,262362.6
1650000.0,1659669.5
825388.66667,829216.6
1407500.0,1403482.4
1096333.3333,1101783.4
1310000.0,1306987.2
266083.33333,260220.19
700000.0,699240.0
200000.0,204916.56
1245445.8333,1238017.4
2318500.0,2307830.2
753333.33333,753584.25
1962900.0,1979988.8
1165000.0,1167497.4
500000.0,497940.1
616666.66667,622685.44
920000.0,917700.44
1229000.0,1226514.4
1971537.3333,1975352.4
1500000.0,1506229.0
1440000.0,1439182.8
1645000.0,1644840.0
1341666.6667,1353008.2
2717966.6667,2706162.8
870000.0,873706.06
3396000.0,3406125.0
6733333.3333,6684828.5
3035000.0,3028301.2
2040000.0,2025382.2
2443833.3333,2444098.8
1775000.0,1775020.9
950000.0,949513.56
1300000.0,1297924.1
1000000.0,1000331.56
600000.0,601237.6
395000.0,398842.72
600000.0,607274.75
1023000.0,1021561.56
250000.0,249483.02
470000.0,479049.56
