y_real,y_predicho
2854980.0,2841373.2659172127
170000.0,186253.3480747095
1308333.3333,1307518.630336729
125000.0,127550.23126744482
760000.0,751698.5705558538
200000.0,199357.9683278696
1298666.6667,1294812.6744900404
1040000.0,1050721.6294132418
560000.0,554041.4906585739
2930000.0,2919433.3317050836
4940000.0,4972640.164990586
1025000.0,1023860.6615280842
1268000.0,1268006.2766732941
468333.33333,471217.1008921959
1066666.6667,1068380.9199286345
960000.0,954533.0192130835
584166.66667,594538.8686081638
423333.33333,429356.5297333155
800000.0,798847.4354383221
1397500.0,1388554.9002627137
3140000.0,3120938.26722982
1660000.0,1677179.4977921227
587500.0,594681.5727150396
3300000.0,3315560.276851844
1028500.0,1014657.7754918277
350000.0,354259.4909606748
450000.0,450891.76954529557
2289552.0,2294645.749879177
700000.0,700060.6139433841
1143333.3333,1151731.0042182188
900000.0,903099.6255701261
980000.0,982086.4012075985
750000.0,744953.2107909468
475666.66667,479664.82962051645
962500.0,958575.677714022
700000.0,697885.5753004255
400833.33333,407643.2601757623
2600000.0,2602648.94555225
3068233.3333,3078341.285399499
950000.0,953192.6960277675
750000.0,747037.1293448352
480000.0,468574.3931071743
920000.0,927956.8575803769
1100000.0,1095994.0517203223
200000.0,201570.15259274765
1308000.0,1307101.4456439794
1250000.0,1250061.085305183
406666.66667,407647.00385807117
2500000.0,2500128.113383414
1250000.0,1255156.8823308535
560000.0,555053.9002806032
712500.0,715411.476852098
725000.0,724583.7167349128
2569000.0,2583669.873244619
525000.0,520151.2911186827
911166.66667,920888.5494501044
907000.0,900808.0863835382
1150000.0,1151178.821756081
1170000.0,1164250.8921764644
2030000.0,2036936.779375428
2180000.0,2196048.8447127067
3140027.25,3135121.330459874
700000.0,698773.9376829296
933333.33333,941645.1625764348
772500.0,778257.2757854643
730000.0,722582.0078220266
900000.0,902480.8203412046
450000.0,454332.6396383798
800000.0,797781.6568141875
1984500.0,1988471.7031601584
380000.0,386182.78933345684
3680000.0,3666472.5031168284
4500000.0,4493625.034157112
1373000.0,1382529.2550299158
943000.0,950858.5909314398
991666.66667,993661.7282326353
1520000.0,1525556.246163684
5150000.0,5136756.86994771
450000.0,450279.05229063134
1152500.0,1160150.7673836143
1811287.25,1810922.3675258684
1395841.3333,1403581.2678002494
408333.33333,403277.1282895883
600000.0,603882.8804838097
500000.0,497937.5103190956
608333.33333,622415.996194907
1610500.0,1606228.434184795
960000.0,958197.634931249
773333.33333,783453.8639514984
1673526.0,1663320.5690832892
1000000.0,1003045.5457557066
2641890.5,2633596.778646775
830000.0,819729.0208579917
530000.0,538258.4744521121
908000.0,903079.4643263888
1037000.0,1039806.8839837306
710000.0,718407.6148366821
2050000.0,2033094.361196007
600000.0,601268.5003360184
1250000.0,1241957.85480518
1308000.0,1306957.5189516458
1488526.0,1488096.1537340502
1110000.0,1116505.1647466943
280000.0,293235.90794306726
3405833.3333,3443390.6917928657
1900000.0,1897686.8555346406
1420833.3333,1405631.6744988116
2456250.0,2455870.2162084
518750.0,525067.4488978707
75000.0,74918.72098016621
990987.0,1000996.326999043
311333.33333,305277.3539581288
1600000.0,1599792.9854150459
1350000.0,1357901.280635028
1250000.0,1014276.2010483323
4485333.3333,4475201.526048309
254166.66667,258464.62135854372
2450000.0,2458454.8589633545
908000.0,905946.2183113667
933333.33333,942749.1755180588
200000.0,199157.34757932613
1850000.0,1845184.1124290815
625000.0,637643.6563871877
670833.33333,682923.5977433327
1100000.0,1101826.4920188687
3875000.0,3867119.891753342
100000.0,95561.86121006883
2400000.0,2403422.700077103
1073000.0,1068913.7712389645
1849787.3333,1849840.2649307176
2925000.0,2923060.1757333595
425000.0,433405.5932706852
410000.0,413353.3050673173
500000.0,497748.5019285177
7430333.3333,7443334.914235032
858333.33333,858216.1789516688
3837500.0,3862741.5490828445
1050000.0,1053319.1933193433
200000.0,199274.24662155515
820000.0,820773.9374356727
1483526.0,1484299.7395963082
812500.0,815664.0957404472
700000.0,704130.2847886288
92500.0,90571.24051951167
1321333.3333,1316122.0912590139
700000.0,697381.9775576725
1083333.3333,1084950.494522344
444166.66667,451570.3241045518
460000.0,453455.97903535626
1350000.0,1346002.3223438903
3500000.0,3488380.4062124565
850000.0,847593.5422055739
1030000.0,1016302.8823338524
825000.0,821753.9586779302
750000.0,725409.6150642117
800000.0,796749.4120552669
1200000.0,1199248.6740597412
550000.0,553634.8271215482
850000.0,839733.6424379903
1039416.6667,1051525.453005109
3626666.6667,3668009.0786066493
13333.333333,13229.685676623621
246666.66667,239961.88477013682
2000000.0,2008254.8950127605
630000.0,637796.9947937003
1000000.0,1003253.7995649611
450000.0,451965.33357099746
650000.0,646373.4343429096
2650000.0,2660773.7555646533
323000.0,308971.36116577213
2508000.0,2515680.5170785342
400000.0,402260.2000684689
400000.0,397975.4972741969
3538936.1667,3505036.328669563
4286500.0,4249412.265866503
350000.0,351571.82122575917
1730000.0,1714473.4299072952
672833.33333,677820.5874312727
1600000.0,1659777.3530819188
3368750.0,3358778.1813127003
2000000.0,2008802.7491209146
750000.0,749104.4415518088
